StockName;SESymbol;StockSymbol
3M COMPANY (XNYS:MMM);XNYS;MMM
ALCOA CORPORATION (XNYS:AA);XNYS;AA
AMERICAN INTERNATIONAL GROUP, INC. (XNYS:AIG);XNYS;AIG
APPLE INC. (XNAS:AAPL);XNAS;AAPL
AMERICAN EXPRESS COMPANY (XNYS:AXP);XNYS;AXP
THE BOEING COMPANY (XNYS:BA);XNYS;BA
BANK OF AMERICA CORPORATION (XNYS:BAC);XNYS;BAC
CITIGROUP INC. (XNYS:C);XNYS;C
CISCO SYSTEMS, INC. (XNAS:CSCO);XNAS;CSCO
Curtiss-Wright (XNYS:CW);XNYS;CW
THE WALT DISNEY COMPANY (XNYS:DIS);XNYS;DIS
Dow Inc. (XNYS:DOW);XNYS;DOW
GENERAL ELECTRIC COMPANY (XNYS:GE);XNYS;GE
GENERAL MOTORS COMPANY (XNYS:GM);XNYS;GM
THE GOLDMAN SACHS GROUP, INC. (XNYS:GS);XNYS;GS
THE HOME DEPOT, INC. (XNYS:HD);XNYS;HD
HONEYWELL INTERNATIONAL INC. (XNAS:HON);XNAS;HON
HEWLETT PACKARD ENTERPRISE COMPANY (XNYS:HPE);XNYS;HPE
INTERNATIONAL BUSINESS MACHINES CORPORATION (XNYS:IBM);XNYS;IBM
INTEL CORPORATION (XNAS:INTC);XNAS;INTC
INTERNATIONAL PAPER COMPANY (XNYS:IP);XNYS;IP
JOHNSON & JOHNSON (XNYS:JNJ);XNYS;JNJ
JPMORGAN CHASE & CO. (XNYS:JPM);XNYS;JPM
THE COCA-COLA COMPANY (XNYS:KO);XNYS;KO
Eastman Kodak (XNYS:KODK);XNYS;KODK
MCDONALD'S CORPORATION (XNYS:MCD);XNYS;MCD
Altria Group, Inc. (XNYS:MO);XNYS;MO
MERCK & CO., INC. (XNYS:MRK);XNYS;MRK
MICROSOFT CORPORATION (XNAS:MSFT);XNAS;MSFT
NIKE, INC. (XNYS:NKE);XNYS;NKE
PFIZER INC. (XNYS:PFE);XNYS;PFE
THE PROCTER & GAMBLE COMPANY (XNYS:PG);XNYS;PG
AT&T INC. (XNYS:T);XNYS;T
The Travelers Companies, Inc. (XNYS:TRV);XNYS;TRV
UNITEDHEALTH GROUP INCORPORATED (XNYS:UNH);XNYS;UNH
VISA INC. (XNYS:V);XNYS;V
VERIZON COMMUNICATIONS INC. (XNYS:VZ);XNYS;VZ
WALGREENS BOOTS ALLIANCE, INC. (XNAS:WBA);XNAS;WBA
WALMART INC. (XNYS:WMT);XNYS;WMT
Western Union (XNYS:WU);XNYS;WU
UNITED STATES STEEL CORPORATION (XNYS:X);XNYS;X
EXXON MOBIL CORPORATION (XNYS:XOM);XNYS;XOM
