Symbol,Start,Stop
MMM,1962-01-02,2022-07-28
AA,1962-01-02,2022-07-28
AIG,1973-01-02,2022-07-28
AAPL,1980-12-12,2022-07-28
AXP,1972-06-01,2022-07-28
BA,1962-01-02,2022-07-28
BAC,1973-02-21,2022-07-28
C,1977-01-03,2022-07-28
CSCO,1990-02-16,2022-07-28
CW,1980-03-17,2022-07-28
DIS,1962-01-02,2022-07-28
DOW,2019-03-20,2022-07-28
GE,1962-01-02,2022-07-28
GM,2010-11-18,2022-07-28
GS,1999-05-04,2022-07-28
HD,1981-09-22,2022-07-28
HON,1962-01-02,2022-07-28
HPE,2015-10-19,2022-07-28
IBM,1962-01-02,2022-07-28
INTC,1980-03-17,2022-07-28
IP,1962-01-02,2022-07-28
JNJ,1962-01-02,2022-07-28
JPM,1980-03-17,2022-07-28
KO,1962-01-02,2022-07-28
KODK,2013-09-23,2022-07-28
MCD,1966-07-05,2022-07-28
MO,1962-01-02,2022-07-28
MRK,1962-01-02,2022-07-28
MSFT,1986-03-13,2022-07-28
NKE,1980-12-02,2022-07-28
PFE,1972-06-01,2022-07-28
PG,1962-01-02,2022-07-28
T,1983-11-21,2022-07-28
TRV,1975-11-17,2022-07-28
UNH,1984-10-17,2022-07-28
V,2008-03-19,2022-07-28
VZ,1983-11-21,2022-07-28
WBA,1980-03-17,2022-07-28
WMT,1972-08-25,2022-07-28
WU,2006-10-02,2022-07-28
X,1991-04-12,2022-07-28
XOM,1962-01-02,2022-07-28
